"filename", "language", "JavaScript", "Markdown", "JSON", "JavaScript JSX", "PostCSS", "Java Properties", "XML", "HTML", "Java", "Batch", "comment", "blank", "total"
"c:\ProyectoSoftware\pk_pizza\proyecto\backend\demo\.mvn\wrapper\maven-wrapper.properties", "Java Properties", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\ProyectoSoftware\pk_pizza\proyecto\backend\demo\mvnw.cmd", "Batch", 0, 0, 0, 0, 0, 0, 0, 0, 0, 139, 26, 25, 190
"c:\ProyectoSoftware\pk_pizza\proyecto\backend\demo\pom.xml", "XML", 0, 0, 0, 0, 0, 0, 57, 0, 0, 0, 13, 7, 77
"c:\ProyectoSoftware\pk_pizza\proyecto\backend\demo\src\main\java\com\example\demo\DemoApplication.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 5, 14
"c:\ProyectoSoftware\pk_pizza\proyecto\backend\demo\src\main\java\com\example\demo\config\WebConfig.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 4, 24
"c:\ProyectoSoftware\pk_pizza\proyecto\backend\demo\src\main\java\com\example\demo\controller\PedidoController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 4, 10, 50
"c:\ProyectoSoftware\pk_pizza\proyecto\backend\demo\src\main\java\com\example\demo\controller\ProductoController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 4, 10, 50
"c:\ProyectoSoftware\pk_pizza\proyecto\backend\demo\src\main\java\com\example\demo\controller\TestController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 6, 22
"c:\ProyectoSoftware\pk_pizza\proyecto\backend\demo\src\main\java\com\example\demo\model\Pedido.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 12, 45
"c:\ProyectoSoftware\pk_pizza\proyecto\backend\demo\src\main\java\com\example\demo\model\Producto.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 12, 50
"c:\ProyectoSoftware\pk_pizza\proyecto\backend\demo\src\main\java\com\example\demo\model\ProductoItem.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 11, 44
"c:\ProyectoSoftware\pk_pizza\proyecto\backend\demo\src\main\java\com\example\demo\repository\PedidoRepository.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 97, 0, 0, 30, 127
"c:\ProyectoSoftware\pk_pizza\proyecto\backend\demo\src\main\java\com\example\demo\repository\ProductoRepository.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 85, 0, 0, 24, 109
"c:\ProyectoSoftware\pk_pizza\proyecto\backend\demo\src\main\java\com\example\demo\service\PedidoService.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 4, 8, 34
"c:\ProyectoSoftware\pk_pizza\proyecto\backend\demo\src\main\java\com\example\demo\service\ProductoService.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 4, 10, 39
"c:\ProyectoSoftware\pk_pizza\proyecto\backend\demo\src\main\resources\application.properties", "Java Properties", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
